node,betweeness_centrality,node_type
HIF1A,0.0001580112633238063,gene/protein
ATF6,0.0001544409711867162,gene/protein
BCL2L1,0.00015028987300628514,gene/protein
DGKD,0.00014647782791712147,gene/protein
PLS3,0.0001464292476641158,gene/protein
SNX14,0.0001421685349241902,gene/protein
PRPF6,0.00014107204580260965,gene/protein
GLI1,0.0001410056697961099,gene/protein
HSPA5,0.0001383543855837515,gene/protein
ESR2,0.00013496596352648307,gene/protein
FOXP3,0.00013471912990363496,gene/protein
IGF2BP2,0.00013394363235381553,gene/protein
JADE2,0.00013378252116447555,gene/protein
KPNA1,0.0001324931820774617,gene/protein
ZC3HC1,0.00013191475562204596,gene/protein
ITGA1,0.00013185423049423683,gene/protein
KRT17,0.00013160719670107408,gene/protein
KPNA5,0.00013160719670107408,gene/protein
obesity disorder,0.00013056188241873065,effect/phenotype
PFN1,0.0001291847936148834,gene/protein
Autosomal dominant inheritance,0.00012795223175892447,effect/phenotype
JUND,0.00012639687269109476,gene/protein
EPHA4,0.0001248635710633033,gene/protein
PTK2B,0.0001243624408738642,gene/protein
GRB14,0.0001233662459006019,gene/protein
FOS,0.0001216629716017333,gene/protein
KCNK16,0.00012053933394300607,gene/protein
EPC2,0.00011997965784099261,gene/protein
USP48,0.00011801886672305247,gene/protein
SMAD2,0.00011767636481902585,gene/protein
CTNNB1,0.00011629778594227075,gene/protein
SPI1,0.00011601787107338574,gene/protein
IKBKG,0.00011594902547606532,gene/protein
BRAF,0.00011560068953826669,gene/protein
PRKACA,0.00011422871331752516,gene/protein
MDM2,0.00011238429717721666,gene/protein
CTCF,0.00011183515336028454,gene/protein
HTT,0.00011136308194926989,gene/protein
CDKAL1,0.00011118810567232363,gene/protein
PPM1B,0.0001109887417193187,gene/protein
NR3C1,0.00010620154103106463,gene/protein
UBE3A,0.00010596642886050156,gene/protein
CCND2,0.00010480515356080533,gene/protein
MEN1,0.00010444463790879181,gene/protein
KCNJ11,0.00010420241368899763,gene/protein
SOCS3,0.00010415154693426422,gene/protein
GCG,0.00010279951582407425,gene/protein
AUTS2,0.00010244508895140975,gene/protein
MIRLET7D,0.00010213405606032748,gene/protein
diabetic ketoacidosis,0.00010087625066905881,disease
HHEX,9.912812095808654e-05,gene/protein
SREBF1,9.883793037381887e-05,gene/protein
RNF2,9.77253694572446e-05,gene/protein
RAF1,9.658558580816185e-05,gene/protein
ATP6AP2,9.64565689898449e-05,gene/protein
MOK,9.542281042793823e-05,gene/protein
KSR2,9.291123378873122e-05,gene/protein
